0,importance
ROAD_CONDITION_1,0.17594401298054183
LOCATION_TYPE_0,0.1409092544060181
ILLUMINATION_1.0,0.13342629594137892
WEATHER1_3,0.10199562801824509
INTERSECT_TYPE_0,0.09584958740474087
ILLUMINATION_4.0,0.06927165038180717
crime_total,0.056037508713200616
WEATHER1_7,0.040711146865294125
INTERSECT_TYPE_1,0.04031725820063589
ILLUMINATION_5.0,0.03085338150528615
traffic_stop_total,0.029345416634609277
ILLUMINATION_3.0,0.02547100780234311
ILLUMINATION_6.0,0.020936291204364188
ROAD_CONDITION_2,0.015495936339415315
INTERSECT_TYPE_2,0.0076972365626693726
ILLUMINATION_2.0,0.003553612347407255
ROAD_CONDITION_9,0.0032647052227558213
LOCATION_TYPE_1,0.003217478376748633
LOCATION_TYPE_2,0.003118630231568957
LOCATION_TYPE_7,0.0009386481995551887
INTERSECT_TYPE_5,0.0003163811787772088
LOCATION_TYPE_6,0.0002806441478962301
ROAD_CONDITION_7,0.00025469961912180753
LOCATION_TYPE_3,0.00019900218843504284
WEATHER1_10,0.00018352527564397214
INTERSECT_TYPE_7,8.482141558837551e-05
ROAD_CONDITION_6,7.526346278176135e-05
INTERSECT_TYPE_3,7.203274688353384e-05
INTERSECT_TYPE_10,5.747060584714055e-05
INTERSECT_TYPE_6,4.902904185842372e-05
WEATHER1_9,2.5620763975587957e-05
ROAD_CONDITION_8,2.5527734746624424e-05
LOCATION_TYPE_8,9.817682141684824e-06
INTERSECT_TYPE_9,5.115670213156498e-06
LOCATION_TYPE_4,4.109310408602803e-06
WEATHER1_5,2.251817095075544e-06
ROAD_CONDITION_0,0.0
INTERSECT_TYPE_11,0.0
LOCATION_TYPE_5,0.0
INTERSECT_TYPE_12,0.0
